#,SPRINT,ID,User Story,Acceptance Criteria,STATUS
PENGGUNA (UMUM),,,,,
1,SPRINT 1,US0001,"Sebagai Pengguna, saya ingin dapat masuk ke dalam sistem menggunakan email dan kata sandi, agar saya bisa mengakses fitur sesuai peran saya.","1. Halaman login menampilkan kolom email dan kata sandi. 2. Sistem memvalidasi email dan kata sandi yang dimasukkan. 3. Jika valid, pengguna diarahkan ke dashboard masing-masing (Admin, Guru, Siswa). 4. Jika tidak valid, muncul pesan error yang jelas.",4. Sudah Selesai
2,SPRINT 1,US0002,"Sebagai Pengguna, saya ingin dapat keluar dari sistem dengan aman, untuk melindungi akun saya.","1. Terdapat tombol ""Logout"" atau ""Keluar"" yang mudah diakses setelah login. 2. Setelah diklik, sesi pengguna berakhir. 3. Pengguna diarahkan kembali ke halaman login.",4. Sudah Selesai
3,SPRINT 1,US0003,"Sebagai Pengguna, saya ingin melihat dashboard utama setelah login, agar saya mendapatkan ringkasan informasi yang relevan.","1. Setelah login, pengguna melihat halaman dashboard. 2. Admin: Menampilkan statistik (jumlah guru, siswa, kelas). 3. Guru: Menampilkan daftar kelas yang diajar. 4. Siswa: Menampilkan daftar kelas yang diikuti.",4. Sudah Selesai
4,SPRINT 2,US0004,"Sebagai Pengguna, saya ingin dapat mengubah kata sandi saya, agar keamanan akun saya terjaga.","1. Di halaman profil/pengaturan akun, terdapat menu ""Ubah Kata Sandi"". 2. Pengguna harus memasukkan kata sandi lama, kata sandi baru, dan konfirmasi kata sandi baru. 3. Sistem memvalidasi kata sandi lama sebelum menyimpan yang baru.",4. Sudah Selesai
5,SPRINT 2,US0005,"Sebagai Pengguna, saya ingin bisa mereset kata sandi jika saya lupa, agar saya bisa mendapatkan kembali akses ke akun saya.","1. Di halaman login, terdapat link ""Lupa Kata Sandi?"". 2. Pengguna memasukkan email terdaftar. 3. Sistem mengirimkan link reset ke email tersebut. 4. Pengguna dapat membuat kata sandi baru melalui link tersebut.",4. Sudah Selesai
6,SPRINT 2,US0006,"Sebagai Pengguna, saya ingin melihat Landing Page saat masuk pertama kali ke Website Coding Academy Payakumbuh.",1. Di halaman Landing Page terdapat informasi umum tentang Coding Academy Payakumbuh. 2. Pengguna dapat melihat foto/dokumentasi kegiatan dalam Coding Academy.,4. Sudah Selesai
7,SPRINT 2,US0007,"Sebagai Pengguna, saya ingin menerima notifikasi tentang aktivitas yang relevan.",1. Sistem menampilkan notifikasi di dashboard. 2. Notifikasi dapat ditandai sebagai sudah dibaca. 3. Ada halaman daftar semua notifikasi.,4. Sudah Selesai
ADMIN,,,,,
8,SPRINT 1,US1001,"Sebagai Admin, saya ingin dapat melihat daftar Guru, sehingga saya bisa memantau data pengajar yang ada.","1. Admin dapat mengakses halaman manajemen Guru. 2. Halaman menampilkan daftar Guru beserta data (Nama, Email, Bidang Ajar).",4. Sudah Selesai
9,SPRINT 1,US1002,"Sebagai Admin, saya ingin dapat menambah data Guru baru, sehingga saya bisa mengelola data master pengajar.","1. Terdapat tombol ""Tambah Guru"". 2. Admin mengisi form (Nama, Email, Kata Sandi Awal). 3. Data Guru baru muncul di daftar.",4. Sudah Selesai
10,SPRINT 1,US1003,"Sebagai Admin, saya ingin dapat melihat daftar Siswa, sehingga saya bisa memantau seluruh peserta didik.","1. Admin dapat mengakses halaman manajemen Siswa. 2. Halaman menampilkan daftar Siswa beserta data (Nama, Email, NIS).",4. Sudah Selesai
11,SPRINT 1,US1004,"Sebagai Admin, saya ingin dapat menambah data Siswa baru, sehingga data peserta didik selalu terbarui.","1. Terdapat tombol ""Tambah Siswa"". 2. Admin mengisi form (Nama, Email, Kata Sandi Awal). 3. Data Siswa baru muncul di daftar.",4. Sudah Selesai
12,SPRINT 1,US1005,"Sebagai Admin, saya ingin dapat membuat kelas baru, sehingga saya bisa menambahkan program studi yang tersedia.","1. Admin mengakses halaman manajemen Kelas. 2. Admin mengisi form (Nama Kelas, Deskripsi, Guru Pengampu). 3. Kelas baru muncul dalam daftar kelas.",4. Sudah Selesai
13,SPRINT 1,US1006,"Sebagai Admin, saya ingin mendaftarkan (enroll) siswa ke kelas tertentu, agar siswa dapat mengakses materi.","1. Di halaman detail kelas, ada fitur ""Daftarkan Siswa"". 2. Admin bisa memilih satu atau lebih siswa untuk dimasukkan ke kelas.",4. Sudah Selesai
14,SPRINT 1,US1007,"Sebagai Admin, saya ingin mengeluarkan (unenroll) siswa dari kelas, agar siswa tidak lagi mengakses kelas tersebut.","1. Tombol ""Keluarkan"" pada setiap siswa di daftar kelas. 2. Konfirmasi sebelum unenroll. 3. Siswa tidak lagi muncul di daftar kelas.",4. Sudah Selesai
15,SPRINT 1,US1008,"Sebagai Admin, saya ingin melihat daftar materi yang menunggu verifikasi, agar saya tahu materi mana yang perlu ditinjau.","1. Admin dapat mengakses halaman ""Verifikasi Materi"". 2. Halaman menampilkan daftar materi berstatus ""Menunggu Verifikasi"".",4. Sudah Selesai
16,SPRINT 1,US1009,"Sebagai Admin, saya ingin menyetujui materi yang sesuai, agar materi tersebut bisa segera diakses oleh siswa.","1. Admin dapat meninjau konten materi. 2. Terdapat tombol ""Setujui"". 3. Setelah disetujui, status materi berubah menjadi ""Diterima"".",4. Sudah Selesai
17,SPRINT 1,US1010,"Sebagai Admin, saya ingin membuat pertemuan baru untuk kelas, agar dapat mengelola jadwal pembelajaran.","1. Form: Tanggal, Pertemuan ke-, Topik, Deskripsi. 2. Pertemuan baru muncul di daftar.",4. Sudah Selesai
18,SPRINT 1,US1011,"Sebagai Admin, saya ingin mengedit informasi pertemuan, agar data pertemuan selalu akurat.","1. Opsi ""Edit"" pada setiap pertemuan. 2. Admin dapat mengubah tanggal, topik, deskripsi.",4. Sudah Selesai
19,SPRINT 1,US1012,"Sebagai Admin, saya ingin menghapus pertemuan yang salah dibuat, agar data tetap bersih.","1. Opsi ""Hapus"" pada setiap pertemuan. 2. Konfirmasi sebelum menghapus.",4. Sudah Selesai
20,SPRINT 1,US1013,"Sebagai Admin, saya ingin menginput absensi siswa per pertemuan, agar data kehadiran tercatat.","1. Form input status: Hadir, Izin, Sakit, Alpha. 2. Simpan presensi untuk semua siswa. 3. Menampilkan statistik kehadiran.",4. Sudah Selesai
21,SPRINT 2,US1014,"Sebagai Admin, saya ingin dapat mengedit data Guru yang sudah ada, sehingga informasi pengajar selalu akurat.","1. Setiap baris data Guru memiliki opsi ""Edit"". 2. Admin dapat mengubah data Guru yang sudah ada.",4. Sudah Selesai
22,SPRINT 2,US1015,"Sebagai Admin, saya ingin dapat menghapus data Guru, sehingga saya bisa membersihkan data pengajar yang tidak aktif.","1. Setiap baris data Guru memiliki opsi ""Hapus"". 2. Sistem meminta konfirmasi sebelum menghapus.",4. Sudah Selesai
23,SPRINT 2,US1016,"Sebagai Admin, saya ingin dapat mengedit data Siswa yang sudah ada, sehingga informasi peserta didik selalu valid.","1. Setiap baris data Siswa memiliki opsi ""Edit"". 2. Admin dapat mengubah data Siswa yang sudah ada.",4. Sudah Selesai
24,SPRINT 2,US1017,"Sebagai Admin, saya ingin dapat menghapus data Siswa, agar data yang tidak relevan bisa dihilangkan.","1. Setiap baris data Siswa memiliki opsi ""Hapus"". 2. Sistem meminta konfirmasi sebelum menghapus.",4. Sudah Selesai
25,SPRINT 2,US1018,"Sebagai Admin, saya ingin dapat mengubah detail kelas, agar informasi kelas selalu relevan.","1. Pada daftar kelas, terdapat opsi ""Edit"". 2. Admin dapat mengubah Nama Kelas, Deskripsi, atau Guru Pengampu.",4. Sudah Selesai
26,SPRINT 2,US1019,"Sebagai Admin, saya ingin menolak materi yang tidak sesuai, agar guru bisa memperbaikinya.","1. Terdapat tombol ""Tolak"" untuk setiap materi. 2. Admin dapat memberikan alasan penolakan. 3. Status materi berubah menjadi ""Ditolak"" dan notifikasi terkirim ke Guru.",4. Sudah Selesai
27,SPRINT 3,US1020,"Sebagai Admin, saya ingin dapat menghapus kelas, sehingga kelas yang tidak aktif bisa dihilangkan dari sistem.","1. Pada daftar kelas, terdapat opsi ""Hapus"". 2. Sistem memberikan konfirmasi sebelum menghapus.",4. Sudah Selesai
28,SPRINT 3,US1021,"Sebagai Admin, saya ingin mengubah status aktif/tidak aktif pengguna (Guru/Siswa), untuk menonaktifkan akun tanpa menghapusnya.","1. Di halaman manajemen pengguna, terdapat tombol untuk mengubah status (Aktif/Nonaktif). 2. Pengguna yang tidak aktif tidak bisa login.",4. Sudah Selesai
29,SPRINT 3,US1022,"Sebagai Admin, saya ingin menampilkan history/riwayat siswa.","1. Halaman menampilkan Tanggal dan waktu aktivitas. 2. Halaman menampilkan jenis aktivitas (login, pendaftaran kelas, akses materi). 3. Halaman menampilkan detail aktivitas.",4. Sudah Selesai
30,SPRINT 3,US1023,"Sebagai Admin, saya ingin mengexport absensi kelas ke Excel, agar bisa membuat laporan kehadiran.","1. Tombol ""Export Absensi"" di halaman detail kelas. 2. Generate file Excel dengan data absensi lengkap. 3. File otomatis terdownload.",4. Sudah Selesai
31,SPRINT 3,US1024,"Sebagai Admin, saya ingin mengexport learning log siswa ke Excel, agar bisa melihat riwayat pembelajaran siswa.","1. Tombol ""Export Learning Log"" per siswa. 2. Generate file Excel dengan riwayat pembelajaran. 3. File otomatis terdownload.",4. Sudah Selesai
32,SPRINT 4,US1025,"Sebagai Admin, saya ingin mengirim notifikasi pengingat kepada guru yang materinya belum diverifikasi, agar proses lebih cepat.","1. Terdapat tombol ""Kirim Pengingat"" di halaman verifikasi materi. 2. Sistem mengirim notifikasi ke guru yang relevan.",4. Sudah Selesai
33,SPRINT 4,US1026,"Sebagai Admin, saya ingin melihat laporan presensi keseluruhan, untuk memantau aktivitas belajar di semua kelas.","1. Admin dapat mengakses menu Laporan Presensi. 2. Admin dapat memfilter laporan berdasarkan kelas, guru, atau rentang waktu.",4. Sudah Selesai
34,SPRINT 4,US1027,"Sebagai Admin, saya ingin dapat melakukan backup data pengguna dan materi, untuk keamanan dan pemulihan data.","1. Terdapat menu ""Backup Data"" di dashboard admin. 2. Admin dapat memulai proses backup secara manual dan mengunduh hasilnya.",4. Sudah Selesai
35,SPRINT 4,US1028,"Sebagai Admin, saya ingin mengexport log aktivitas ke Excel, agar bisa audit trail.","1. Tombol ""Export Log Aktivitas"". 2. Generate file Excel dengan activity logs. 3. File otomatis terdownload.",4. Sudah Selesai
36,SPRINT 4,US1029,"Sebagai Admin, saya ingin mendownload semua materi dalam satu file ZIP, agar bisa backup materi.","1. Tombol ""Download Semua Materi"". 2. Sistem compress semua file materi menjadi ZIP. 3. File otomatis terdownload.",4. Sudah Selesai
GURU,,,,,
37,SPRINT 1,US2001,"Sebagai Guru, saya ingin menambahkan materi pembelajaran (PDF, video, link) ke kelas, agar siswa bisa mulai belajar.","1. Guru dapat memilih kelas tujuan. 2. Guru dapat mengakses formulir unggah materi. 3. Setelah diunggah, materi otomatis berstatus ""Menunggu Verifikasi"".",4. Sudah Selesai
38,SPRINT 1,US2002,"Sebagai Guru, saya ingin melihat daftar dan status materi yang pernah saya unggah, agar saya tahu progresnya.","1. Guru mengakses halaman daftar materi. 2. Setiap materi menampilkan status (""Menunggu Verifikasi"", ""Diterima"", ""Ditolak"").",4. Sudah Selesai
39,SPRINT 2,US2003,"Sebagai Guru, saya ingin melihat daftar hadir siswa di kelas saya.",1. Guru akses halaman kehadiran. 2. Menampilkan daftar siswa dan status kehadiran per pertemuan.,4. Sudah Selesai
40,SPRINT 2,US2004,"Sebagai Guru, saya ingin memantau progres belajar siswa di kelas saya, sehingga saya tahu kemajuan setiap siswa.","1. Guru mengakses halaman ""Pemantauan Progres"". 2. Sistem menampilkan tabel progres penyelesaian materi untuk setiap siswa.",4. Sudah Selesai
41,SPRINT 3,US2005,"Sebagai Guru, saya ingin mengedit materi yang pernah saya unggah, agar saya bisa memperbarui atau memperbaiki kesalahan.","1. Opsi ""Edit"" hanya aktif untuk materi berstatus ""Menunggu Verifikasi"" atau ""Ditolak"". 2. Materi yang diedit akan kembali berstatus ""Menunggu Verifikasi"".",4. Sudah Selesai
42,SPRINT 3,US2006,"Sebagai Guru, saya ingin menghapus materi yang tidak relevan, agar daftar materi tetap rapi.","1. Guru dapat memilih opsi ""Hapus"" pada materi. 2. Sistem menampilkan konfirmasi sebelum penghapusan.",4. Sudah Selesai
43,SPRINT 3,US2007,"Sebagai Guru, saya ingin mendapatkan laporan kehadiran otomatis, sehingga saya tahu siapa saja yang aktif di kelas.","1. Guru mengakses halaman ""Laporan Kehadiran"". 2. Laporan dapat difilter berdasarkan kelas dan periode.",4. Sudah Selesai
SISWA,,,,,
44,SPRINT 1,US3001,"Sebagai Siswa, saya ingin melihat daftar kelas yang saya ikuti, agar saya bisa memilih kelas yang ingin dipelajari.","1. Setelah login, siswa melihat daftar kelas yang diikutinya di dashboard.",4. Sudah Selesai
45,SPRINT 1,US3002,"Sebagai Siswa, saya ingin mengakses materi di dalam kelas, sehingga saya bisa belajar secara mandiri.",1. Siswa dapat mengklik salah satu kelas dari daftar. 2. Halaman kelas menampilkan daftar materi yang sudah disetujui Admin. 3. Siswa dapat membuka/mengakses setiap materi.,4. Sudah Selesai
46,SPRINT 2,US3003,"Sebagai Siswa, saya ingin melihat progress bar kemajuan belajar saya di setiap kelas, agar saya termotivasi.","1. Setiap kelas memiliki progress bar visual. 2. Ketika siswa menandai materi ""selesai"", progress bar akan diperbarui otomatis.",4. Sudah Selesai
47,SPRINT 3,US3004,"Sebagai Siswa, saya ingin progress membaca PDF saya tersimpan otomatis, agar bisa melanjutkan dari halaman terakhir.","1. Saat ganti halaman PDF, progress tersimpan otomatis (AJAX). 2. Saat buka materi lagi, ke halaman terakhir dibaca. 3. Progress bar menampilkan persentase.",4. Sudah Selesai
48,SPRINT 3,US3005,"Sebagai Siswa, saya ingin melihat status pembayaran di halaman profil, agar tahu kewajiban saya.","1. Di halaman profil, terdapat informasi status pembayaran (Lunas/Belum Lunas).",4. Sudah Selesai
49,SPRINT 4,US3006,"Sebagai Siswa, saya ingin melihat notifikasi jika kelas Bimbel akan berakhir, agar saya bisa mempersiapkan diri.",1. Sistem menampilkan notifikasi di dashboard siswa beberapa hari sebelum kelas berakhir. 2. Notifikasi berisi nama kelas dan tanggal berakhirnya.,4. Sudah Selesai
